"YearBuilt","YearRemodeled","Condition","NumStories","FinSqFt","Bedroom","FullBath","HalfBath","TotalRooms","LotSize","TotalValue","City"
2020,NA,"Average",2,1152,3,3,0,6,0.0253,263400,"CHARLOTTESVILLE"
2020,NA,"Average",2,1152,3,3,0,6,0.0254,263400,"CHARLOTTESVILLE"
2020,NA,"Average",2,1152,3,3,0,6,0.0253,263400,"CHARLOTTESVILLE"
2020,NA,"Average",2,1152,3,3,0,6,0.0252,263400,"CHARLOTTESVILLE"
2020,NA,"Average",2,1152,3,3,0,6,0.0404,269400,"CHARLOTTESVILLE"
2020,NA,"Average",2,1280,3,2,1,6,0.0576,282600,"CHARLOTTESVILLE"
2020,NA,"Average",2,1440,3,2,1,6,0.0389,295200,"CHARLOTTESVILLE"
2020,NA,"Average",2,1680,3,3,1,6,0.039,324800,"CHARLOTTESVILLE"
2020,NA,"Average",2,1680,3,3,1,6,0.039,318200,"CHARLOTTESVILLE"
2020,NA,"Average",2,1440,3,2,1,6,0.0387,294300,"CHARLOTTESVILLE"
2020,NA,"Average",2,1452,3,2,1,6,0.0383,295400,"CHARLOTTESVILLE"
2020,NA,"Average",2,1280,3,2,1,6,0.0377,272200,"CHARLOTTESVILLE"
2020,NA,"Average",2,1452,3,2,1,6,0.0538,299800,"CHARLOTTESVILLE"
2019,NA,"Average",2,1456,3,2,1,6,0.074,303100,"CHARLOTTESVILLE"
2020,NA,"Average",2,1680,3,3,1,6,0.0385,323800,"CHARLOTTESVILLE"
2020,NA,"Average",2,1440,3,2,1,6,0.0385,290600,"CHARLOTTESVILLE"
2020,NA,"Average",2,1454,3,2,2,6,0.0383,299700,"CHARLOTTESVILLE"
2020,NA,"Average",2,1680,3,3,1,6,0.0359,324300,"CHARLOTTESVILLE"
2020,NA,"Average",2,1454,3,2,1,6,0.0518,298300,"CHARLOTTESVILLE"
2019,NA,"Average",2,1440,3,2,2,6,0.05,300900,"CHARLOTTESVILLE"
2020,NA,"Average",2,1280,3,2,1,6,0.0432,279900,"CHARLOTTESVILLE"
2019,NA,"Average",2,1680,3,2,1,6,0.05,323700,"CHARLOTTESVILLE"
2019,NA,"Average",2,1440,3,2,2,6,0.039,298100,"CHARLOTTESVILLE"
2018,NA,"Average",2,1680,3,2,2,5,0.041,316700,"CHARLOTTESVILLE"
2019,NA,"Average",2,1280,3,2,1,6,0.043,277500,"CHARLOTTESVILLE"
2019,NA,"Average",2,1440,3,2,1,6,0.044,297100,"CHARLOTTESVILLE"
2019,NA,"Average",2,1440,3,2,1,6,0.055,304400,"CHARLOTTESVILLE"
2019,NA,"Average",2,1451,3,2,1,6,0.054,305100,"CHARLOTTESVILLE"
2019,NA,"Average",2,1280,3,2,1,6,0.04,273700,"CHARLOTTESVILLE"
2019,NA,"Average",2,1691,3,2,1,6,0.04,314500,"CHARLOTTESVILLE"
2019,NA,"Average",2,1280,3,2,1,6,0.04,272800,"CHARLOTTESVILLE"
2019,NA,"Average",2,1440,3,2,1,6,0.04,298400,"CHARLOTTESVILLE"
2019,NA,"Average",2,1280,3,2,2,6,0.04,277000,"CHARLOTTESVILLE"
2019,NA,"Average",2,1680,3,2,1,6,0.04,316600,"CHARLOTTESVILLE"
2019,NA,"Average",2,1280,3,2,1,6,0.06,281200,"CHARLOTTESVILLE"
2019,NA,"Average",2,1680,3,2,2,6,0.0376,318500,"CHARLOTTESVILLE"
2019,NA,"Average",2,1454,3,2,1,6,0.0376,293100,"CHARLOTTESVILLE"
2019,NA,"Average",2,1440,3,2,1,6,0.0376,293600,"CHARLOTTESVILLE"
2019,NA,"Average",2,1440,3,2,2,6,0.0376,297100,"CHARLOTTESVILLE"
2019,NA,"Average",2,1440,3,2,2,6,0.0376,297300,"CHARLOTTESVILLE"
2019,NA,"Average",2,1440,3,2,2,6,0.0376,297300,"CHARLOTTESVILLE"
2019,NA,"Average",2,1440,3,2,1,6,0.0376,291900,"CHARLOTTESVILLE"
2019,NA,"Average",2,1680,3,2,1,6,0.043,318200,"CHARLOTTESVILLE"
2013,NA,"Average",2,2242,4,2,1,7,0.125,391600,"CHARLOTTESVILLE"
2013,NA,"Average",2,3328,4,3,1,7,0.141,493300,"CHARLOTTESVILLE"
2014,NA,"Average",2,2240,4,2,2,9,0.133,403300,"CHARLOTTESVILLE"
2014,NA,"Average",2,2460,4,3,1,8,0.119,434900,"CHARLOTTESVILLE"
2014,NA,"Average",2,2340,4,3,1,8,0.115,418500,"CHARLOTTESVILLE"
2014,NA,"Average",1,1600,3,2,1,8,0.145,426000,"CHARLOTTESVILLE"
2014,NA,"Average",2,2906,5,3,1,10,0.141,466600,"CHARLOTTESVILLE"
2015,NA,"Average",2,1796,3,2,1,8,0.118,360700,"CHARLOTTESVILLE"
2015,NA,"Average",2,2868,4,2,1,9,0.119,524000,"CHARLOTTESVILLE"
2015,NA,"Average",2,2180,4,2,1,9,0.119,421200,"CHARLOTTESVILLE"
2015,NA,"Average",2,2400,4,3,1,9,0.136,412400,"CHARLOTTESVILLE"
2014,NA,"Average",2,2688,4,3,1,9,0.173,484000,"CHARLOTTESVILLE"
2014,NA,"Average",2,2424,4,3,1,8,0.133,447800,"CHARLOTTESVILLE"
2015,NA,"Average",2,2400,4,3,1,7,0.094,425500,"CHARLOTTESVILLE"
2015,NA,"Average",2,2460,4,2,1,8,0.134,424600,"CHARLOTTESVILLE"
2015,NA,"Average",2,2360,4,2,2,9,0.112,418500,"CHARLOTTESVILLE"
2015,NA,"Average",2,2728,4,3,1,9,0.109,458700,"CHARLOTTESVILLE"
2014,NA,"Good",2,2828,4,3,1,9,0.109,460900,"CHARLOTTESVILLE"
2014,NA,"Average",2,2200,4,2,2,8,0.109,403000,"CHARLOTTESVILLE"
2013,NA,"Average",2,2480,4,3,1,7,0.117,418300,"CHARLOTTESVILLE"
2013,NA,"Average",2,2180,4,2,1,7,0.141,391600,"CHARLOTTESVILLE"
2013,NA,"Average",2,3168,4,3,1,7,0.18,479800,"CHARLOTTESVILLE"
2014,NA,"Average",2,2424,4,3,1,8,0.118,450700,"CHARLOTTESVILLE"
2013,NA,"Average",2,1810,4,3,1,8,0.106,373500,"CHARLOTTESVILLE"
2013,NA,"Average",2,2140,4,2,1,7,0.127,394400,"CHARLOTTESVILLE"
2012,NA,"Average",2,2380,4,3,1,7,0.133,413000,"CHARLOTTESVILLE"
2012,NA,"Average",1,2330,4,3,0,7,0.137,391500,"CHARLOTTESVILLE"
2012,NA,"Average",2,2416,4,3,1,7,0.138,414100,"CHARLOTTESVILLE"
2013,NA,"Average",2,1680,3,3,1,9,0.056,316300,"CHARLOTTESVILLE"
2013,NA,"Average",2,1440,3,2,1,7,0.04,280100,"CHARLOTTESVILLE"
2013,NA,"Average",2,1280,3,2,1,8,0.04,254600,"CHARLOTTESVILLE"
2013,NA,"Average",2,1680,3,2,1,8,0.04,303500,"CHARLOTTESVILLE"
2013,NA,"Average",2,1680,3,2,1,8,0.056,317800,"CHARLOTTESVILLE"
2013,NA,"Average",2,1920,3,3,1,6,0.047,305600,"CHARLOTTESVILLE"
2013,NA,"Average",2,1728,3,2,1,6,0.029,278400,"CHARLOTTESVILLE"
2013,NA,"Average",2,1940,3,3,0,6,0.029,294200,"CHARLOTTESVILLE"
2013,NA,"Average",2,1728,3,3,0,6,0.029,280000,"CHARLOTTESVILLE"
2013,NA,"Average",2,1920,3,2,1,6,0.029,292800,"CHARLOTTESVILLE"
2013,NA,"Average",2,1748,3,3,1,6,0.029,280100,"CHARLOTTESVILLE"
2013,NA,"Average",2,1728,3,2,1,6,0.029,279400,"CHARLOTTESVILLE"
2013,NA,"Average",2,1940,3,2,1,6,0.047,302200,"CHARLOTTESVILLE"
2012,NA,"Average",2,1694,3,2,1,6,0.06,311200,"CHARLOTTESVILLE"
2012,NA,"Average",2,1680,3,3,1,6,0.04,305900,"CHARLOTTESVILLE"
2012,NA,"Average",2,1280,3,2,1,6,0.04,262900,"CHARLOTTESVILLE"
2012,NA,"Average",2,1374,3,2,1,6,0.04,272700,"CHARLOTTESVILLE"
2012,NA,"Average",2,1360,3,2,1,6,0.06,271900,"CHARLOTTESVILLE"
2014,NA,"Average",2,2480,4,3,1,8,0.197,435700,"CHARLOTTESVILLE"
2013,NA,"Average",2,1779,3,2,1,7,0.133,355700,"CHARLOTTESVILLE"
2013,NA,"Average",2,1412,3,2,1,6,0.138,317500,"CHARLOTTESVILLE"
2013,NA,"Average",2,2548,4,2,1,7,0.14,409600,"CHARLOTTESVILLE"
2013,NA,"Average",2,1784,3,2,1,6,0.14,358900,"CHARLOTTESVILLE"
2013,NA,"Average",2,2635,3,3,1,7,0.165,435600,"CHARLOTTESVILLE"
2013,NA,"Average",2,2828,4,3,1,7,0.156,455100,"CHARLOTTESVILLE"
2012,NA,"Average",2,2268,4,2,1,7,0.137,400300,"CHARLOTTESVILLE"
2012,NA,"Average",2,2228,4,3,1,7,0.138,409500,"CHARLOTTESVILLE"
2013,NA,"Average",2,2508,4,3,1,7,0.137,437900,"CHARLOTTESVILLE"
2012,NA,"Average",2,1424,3,3,1,6,0.138,328800,"CHARLOTTESVILLE"
2012,NA,"Average",2,2250,4,2,1,7,0.137,404400,"CHARLOTTESVILLE"
2013,NA,"Average",2,1839,3,3,0,7,0.138,368600,"CHARLOTTESVILLE"
2013,NA,"Average",2,2816,4,2,1,7,0.132,454600,"CHARLOTTESVILLE"
2012,NA,"Average",2,2430,4,3,1,7,0.115,415400,"CHARLOTTESVILLE"
1993,NA,"Average",2,1330,3,2,1,6,0,224400,"CHARLOTTESVILLE"
1993,NA,"Average",2,1321,4,3,1,7,0,234000,"CHARLOTTESVILLE"
1994,NA,"Average",2,1334,3,2,1,5,0,224100,"CHARLOTTESVILLE"
1994,NA,"Good",2,1334,3,2,1,5,0,230400,"CHARLOTTESVILLE"
1994,NA,"Average",2,1334,3,2,1,5,0,230100,"CHARLOTTESVILLE"
1994,NA,"Good",2,1334,3,2,1,5,0,234100,"CHARLOTTESVILLE"
1994,NA,"Average",2,1330,3,3,1,6,0,238800,"CHARLOTTESVILLE"
1994,NA,"Good",2,1330,3,3,1,8,0,250400,"CHARLOTTESVILLE"
1995,NA,"Average",2,1458,3,2,1,5,0.106,231100,"CHARLOTTESVILLE"
1994,NA,"Average",2,1458,3,2,1,5,0,228700,"CHARLOTTESVILLE"
1994,NA,"Average",2,1491,3,2,1,5,0,226200,"CHARLOTTESVILLE"
1994,NA,"Average",2,1491,3,2,1,5,0,239900,"CHARLOTTESVILLE"
1995,NA,"Average",2,1458,3,2,2,7,0.122,237100,"CHARLOTTESVILLE"
1995,NA,"Average",2,1458,3,2,2,5,0.08,235700,"CHARLOTTESVILLE"
1996,NA,"Average",2,1458,3,2,2,5,0.085,237500,"CHARLOTTESVILLE"
1996,NA,"Average",2,1458,3,2,1,5,0.125,229800,"CHARLOTTESVILLE"
1995,NA,"Excellent",2,1458,3,3,1,7,0.116,265100,"CHARLOTTESVILLE"
1995,NA,"Average",2,1458,4,3,1,8,0.075,249400,"CHARLOTTESVILLE"
1995,NA,"Average",2,1330,3,3,1,7,0.073,233900,"CHARLOTTESVILLE"
1995,NA,"Average",2,1330,4,3,1,8,0.074,233900,"CHARLOTTESVILLE"
1995,NA,"Good",2,1330,3,3,1,7,0.078,253400,"CHARLOTTESVILLE"
1995,NA,"Average",2,1330,3,3,1,7,0.083,236100,"CHARLOTTESVILLE"
1995,NA,"Average",2,1458,4,3,1,7,0.068,244500,"CHARLOTTESVILLE"
1995,NA,"Average",2,1458,4,3,1,8,0.068,253100,"CHARLOTTESVILLE"
1995,NA,"Good",2,1458,3,2,2,6,0.062,244600,"CHARLOTTESVILLE"
1995,NA,"Excellent",2,1458,3,3,1,6,0.054,207100,"CHARLOTTESVILLE"
2002,NA,"Average",2,1441,3,3,1,8,0.076,253800,"CHARLOTTESVILLE"
2002,NA,"Average",2,1608,3,3,1,8,0.047,259200,"CHARLOTTESVILLE"
2002,NA,"Good",2,1602,4,3,1,8,0.046,256700,"CHARLOTTESVILLE"
2002,NA,"Average",2,1602,3,3,1,8,0.046,259500,"CHARLOTTESVILLE"
2002,NA,"Average",2,1602,3,3,1,8,0.046,256400,"CHARLOTTESVILLE"
2002,NA,"Average",2,1614,3,3,1,8,0.046,261100,"CHARLOTTESVILLE"
2002,NA,"Average",2,1602,3,3,1,8,0.046,259300,"CHARLOTTESVILLE"
2002,NA,"Average",1.5,1546,4,3,1,9,0.083,260600,"CHARLOTTESVILLE"
2001,NA,"Average",1.5,1546,3,2,1,6,0.082,240700,"CHARLOTTESVILLE"
2001,NA,"Average",2,1530,3,3,1,8,0.051,252500,"CHARLOTTESVILLE"
2001,NA,"Average",2,1530,3,3,1,8,0.051,249600,"CHARLOTTESVILLE"
2001,NA,"Average",2,1510,3,3,1,8,0.051,248400,"CHARLOTTESVILLE"
2002,NA,"Average",2,1530,3,3,1,8,0.051,249600,"CHARLOTTESVILLE"
2002,NA,"Average",2,1533,3,3,1,8,0.051,252000,"CHARLOTTESVILLE"
2002,NA,"Average",1.5,1546,4,3,1,8,0.08,258000,"CHARLOTTESVILLE"
2002,NA,"Average",1.7,1860,3,2,1,7,0.079,258300,"CHARLOTTESVILLE"
2002,NA,"Average",2,1602,3,2,1,6,0.043,226700,"CHARLOTTESVILLE"
2002,NA,"Average",2,1602,3,2,1,6,0.043,226200,"CHARLOTTESVILLE"
2002,NA,"Average",2,1602,3,2,1,6,0.043,226200,"CHARLOTTESVILLE"
2002,NA,"Average",1.7,1838,3,2,1,7,0.058,248500,"CHARLOTTESVILLE"
2002,NA,"Average",2,1622,3,2,1,6,0.074,236300,"CHARLOTTESVILLE"
2003,NA,"Average",2,1614,3,3,1,7,0.102,258800,"CHARLOTTESVILLE"
2003,NA,"Average",2,1600,3,3,1,7,0.047,251100,"CHARLOTTESVILLE"
2003,NA,"Average",2,1636,3,3,1,7,0.047,251200,"CHARLOTTESVILLE"
2003,NA,"Average",2,1636,3,3,1,7,0.047,254200,"CHARLOTTESVILLE"
2003,NA,"Average",2,1636,3,3,1,7,0.047,255000,"CHARLOTTESVILLE"
2003,NA,"Average",2,1596,3,3,1,7,0.047,246100,"CHARLOTTESVILLE"
2003,NA,"Good",2,1560,3,3,1,7,0.047,258100,"CHARLOTTESVILLE"
2003,NA,"Average",2,1636,3,3,1,7,0.065,262300,"CHARLOTTESVILLE"
2003,NA,"Average",2,1528,3,3,1,7,0.068,250100,"CHARLOTTESVILLE"
2003,NA,"Average",2,1636,3,3,1,7,0.047,250300,"CHARLOTTESVILLE"
2003,NA,"Average",2,1636,3,3,1,7,0.047,254300,"CHARLOTTESVILLE"
2003,NA,"Average",2,1556,3,3,1,7,0.047,257800,"CHARLOTTESVILLE"
2003,NA,"Average",2,1636,3,3,1,7,0.047,257200,"CHARLOTTESVILLE"
2003,NA,"Average",2,1636,3,3,1,7,0.047,254300,"CHARLOTTESVILLE"
2003,NA,"Average",1.5,1582,3,3,1,7,0.059,248600,"CHARLOTTESVILLE"
2003,NA,"Average",1.5,1613,3,3,1,7,0.078,260400,"CHARLOTTESVILLE"
2014,NA,"Average",2.3,2760,4,2,1,8,0.105,472800,"CHARLOTTESVILLE"
2017,NA,"Average",2,2352,4,2,1,9,0.096,442500,"CHARLOTTESVILLE"
2017,NA,"Average",2,1981,3,3,1,7,0.095,436200,"CHARLOTTESVILLE"
2017,NA,"Average",1,1364,3,2,0,7,0.095,395300,"CHARLOTTESVILLE"
2015,NA,"Average",1,1384,3,3,0,8,0.095,413900,"CHARLOTTESVILLE"
2017,NA,"Average",1,1384,3,3,0,7,0.0965,415000,"CHARLOTTESVILLE"
2014,NA,"Average",2,2746,4,3,1,11,0.095,490800,"CHARLOTTESVILLE"
2017,NA,"Average",2.5,2829,5,4,1,11,0.095,521900,"CHARLOTTESVILLE"
2017,NA,"Average",2,2244,4,2,1,9,0.094,449700,"CHARLOTTESVILLE"
2016,NA,"Average",2.2,2452,4,3,1,6,0.097,469200,"CHARLOTTESVILLE"
2015,NA,"Average",2.3,2920,3,3,1,8,0.095,498800,"CHARLOTTESVILLE"
2015,NA,"Average",2.3,2244,4,3,1,8,0.095,440700,"CHARLOTTESVILLE"
2014,NA,"Average",2.3,2404,4,2,1,8,0.09,436000,"CHARLOTTESVILLE"
2015,NA,"Average",2.3,2376,4,2,1,8,0.104,366500,"CHARLOTTESVILLE"
2015,NA,"Average",2.5,2882,7,4,1,14,0.099,466000,"CHARLOTTESVILLE"
2017,NA,"Average",2,1952,4,3,1,8,0.095,360900,"CHARLOTTESVILLE"
2017,NA,"Average",2.5,3028,5,4,1,10,0.099,448500,"CHARLOTTESVILLE"
2015,NA,"Average",2,2630,4,3,1,8,0.091,502100,"CHARLOTTESVILLE"
2015,NA,"Average",2.3,2430,4,3,1,8,0.091,494900,"CHARLOTTESVILLE"
2014,NA,"Average",2,2920,0,3,1,11,0.091,511300,"CHARLOTTESVILLE"
2014,NA,"Average",2,3030,4,2,1,6,0.091,523200,"CHARLOTTESVILLE"
2014,NA,"Average",2,2224,4,2,1,5,0.101,438900,"CHARLOTTESVILLE"
2014,NA,"Average",2,2748,4,3,1,10,0.093,502400,"CHARLOTTESVILLE"
2014,NA,"Average",2,2530,4,4,0,8,0.089,509500,"CHARLOTTESVILLE"
2014,NA,"Average",2,2424,4,4,0,8,0.092,469300,"CHARLOTTESVILLE"
2014,NA,"Average",2,2368,4,3,1,9,0.088,466700,"CHARLOTTESVILLE"
2014,NA,"Average",2,2836,4,2,1,6,0.092,482400,"CHARLOTTESVILLE"
2015,NA,"Average",2.3,2452,4,3,1,8,0.088,477600,"CHARLOTTESVILLE"
2014,NA,"Average",2,3200,5,4,1,11,0.084,550100,"CHARLOTTESVILLE"
2015,NA,"Good",2.3,2918,5,4,1,8,0.105,482400,"CHARLOTTESVILLE"
2015,NA,"Average",2.3,2490,4,3,1,8,0.095,478700,"CHARLOTTESVILLE"
2015,NA,"Average",2.3,3073,4,3,1,8,0.11,547600,"CHARLOTTESVILLE"
2015,NA,"Average",2.3,2872,4,3,1,8,0.092,512400,"CHARLOTTESVILLE"
2015,NA,"Average",2.3,3026,4,3,1,8,0.097,529100,"CHARLOTTESVILLE"
2013,NA,"Average",3,1728,3,2,1,7,0.033,279600,"EARLYSVILLE"
2014,NA,"Average",2,1760,3,3,1,8,0.063,336600,"EARLYSVILLE"
2013,NA,"Average",2,1582,3,2,1,8,0.042,302600,"EARLYSVILLE"
2014,NA,"Average",2,1600,3,3,1,8,0.042,312600,"EARLYSVILLE"
2013,NA,"Average",2,1600,4,3,1,8,0.063,320600,"EARLYSVILLE"
2013,NA,"Average",3,1737,3,2,1,7,0.045,288000,"EARLYSVILLE"
2013,NA,"Average",3,1728,3,2,1,7,0.033,279600,"EARLYSVILLE"
2013,NA,"Average",3,1728,3,2,1,7,0.033,279600,"EARLYSVILLE"
2013,NA,"Average",3,1737,3,2,1,7,0.033,280400,"EARLYSVILLE"
2013,NA,"Average",3,1728,3,2,1,7,0.04,287100,"EARLYSVILLE"
2013,NA,"Good",2,1900,3,2,1,6,0.1,374600,"EARLYSVILLE"
2014,NA,"Average",2,2496,4,3,1,11,0.092,449900,"EARLYSVILLE"
2013,NA,"Average",2,1760,4,3,1,7,0.07,339100,"EARLYSVILLE"
2013,NA,"Average",2,1600,3,3,1,7,0.043,321300,"EARLYSVILLE"
2013,NA,"Average",2,1582,3,3,1,7,0.043,310800,"EARLYSVILLE"
2013,NA,"Average",2,1600,3,3,1,7,0.043,310600,"EARLYSVILLE"
2013,NA,"Average",2,1582,3,3,1,7,0.043,310800,"EARLYSVILLE"
2013,NA,"Average",2,1760,3,3,1,6,0.062,338100,"EARLYSVILLE"
2015,NA,"Average",2,1760,3,3,1,8,0.062,343800,"EARLYSVILLE"
2015,NA,"Average",2,1620,4,3,1,8,0.043,298300,"EARLYSVILLE"
2015,NA,"Average",2,1600,3,3,1,8,0.043,315600,"EARLYSVILLE"
2015,NA,"Average",2,1620,4,3,1,9,0.043,315700,"EARLYSVILLE"
2014,NA,"Average",2,1600,3,3,1,8,0.043,313300,"EARLYSVILLE"
2014,NA,"Average",2,1500,3,3,1,8,0.063,307600,"EARLYSVILLE"
2012,NA,"Average",2,2634,4,2,1,8,0.105,417700,"EARLYSVILLE"
2015,NA,"Average",1.9,2607,4,2,1,8,0.102,436300,"EARLYSVILLE"
2015,NA,"Average",1.9,2607,4,3,1,8,0.103,441700,"EARLYSVILLE"
2014,NA,"Average",1.9,2512,4,2,1,9,0.105,422400,"EARLYSVILLE"
2013,NA,"Average",2,2985,5,3,1,9,0.107,460400,"EARLYSVILLE"
2013,NA,"Average",2,2010,3,2,2,8,0.109,388800,"EARLYSVILLE"
2013,NA,"Average",2,2090,3,2,2,7,0.111,398100,"EARLYSVILLE"
2013,NA,"Average",2,1914,3,2,1,6,0.123,360500,"EARLYSVILLE"
1936,NA,"Fair",2,1536,3,1,1,6,48.5,3051600,"CHARLOTTESVILLE"
1960,NA,"Fair",1,1066,5,2,0,9,9.53,331400,"CHARLOTTESVILLE"
1961,2011,"Average",1,2160,3,2,1,7,0.93,276400,"CHARLOTTESVILLE"
1942,NA,"Very Poor",1.3,1076,4,1,0,6,2,81900,"CHARLOTTESVILLE"
2014,NA,"Average",1,1500,3,1,3,7,1,352700,"CHARLOTTESVILLE"
1978,NA,"Average",1,2290,5,3,0,9,5.067,394400,"CHARLOTTESVILLE"
1965,NA,"Average",2,2496,4,3,1,9,10.852,470400,"CHARLOTTESVILLE"
1995,NA,"Average",2,2464,4,2,1,7,5,309100,"CHARLOTTESVILLE"
1964,NA,"Fair",1,960,3,1,0,5,0.728,128600,"CHARLOTTESVILLE"
1964,NA,"Fair",1,960,3,1,0,6,0,128200,"CHARLOTTESVILLE"
1972,NA,"Fair",1,1680,3,2,0,7,3.003,274300,"CHARLOTTESVILLE"
1979,NA,"Average",1,1176,3,1,1,5,3.001,233300,"CHARLOTTESVILLE"
1930,1966,"Average",1,1870,3,2,0,6,27.549,474400,"CHARLOTTESVILLE"
2001,NA,"Average",1.3,2024,3,3,1,7,6,397200,"CHARLOTTESVILLE"
2007,NA,"Average",1,2035,3,3,0,8,6,408500,"CHARLOTTESVILLE"
1754,NA,"Fair",1,1448,2,1,0,5,17.49,232500,"CHARLOTTESVILLE"
1969,NA,"Fair",1,1008,3,1,1,6,1.01,163700,"CHARLOTTESVILLE"
1754,NA,"Fair",1,672,2,1,0,4,8.36,182000,"CHARLOTTESVILLE"
1971,1986,"Average",2,3005,4,2,2,9,5.43,432300,"CHARLOTTESVILLE"
1981,NA,"Fair",1,1684,3,2,0,5,2.441,261800,"CHARLOTTESVILLE"
1981,NA,"Average",1,1684,3,2,0,7,2.882,285900,"CHARLOTTESVILLE"
1979,NA,"Average",1,1242,4,2,0,8,3.045,269900,"CHARLOTTESVILLE"
1979,NA,"Average",1,1188,4,2,0,8,3.74,282600,"CHARLOTTESVILLE"
1993,NA,"Average",1,1356,4,2,0,6,3.85,278700,"CHARLOTTESVILLE"
2003,NA,"Average",2,2436,4,4,0,8,7.13,344800,"CHARLOTTESVILLE"
1981,NA,"Average",1,1148,4,2,0,8,13.033,262800,"CHARLOTTESVILLE"
1971,NA,"Fair",1,1056,3,1,1,5,4,207500,"CHARLOTTESVILLE"
1972,NA,"Average",1,2013,3,2,0,7,4,423900,"CHARLOTTESVILLE"
1978,NA,"Fair",1,2352,4,2,1,8,3.411,410500,"CHARLOTTESVILLE"
1979,NA,"Average",1,1352,4,2,1,8,3,326200,"CHARLOTTESVILLE"
1981,NA,"Good",2,1944,4,3,1,8,2.851,358800,"CHARLOTTESVILLE"
1963,NA,"Average",1.6,3879,3,2,1,10,1.92,659200,"CHARLOTTESVILLE"
1913,NA,"Average",1.7,2417,3,2,0,8,23.152,415200,"CHARLOTTESVILLE"
1983,NA,"Average",1,1599,3,2,0,6,41.85,175500,"CHARLOTTESVILLE"
1974,NA,"Poor",1,1190,3,2,0,8,3.426,156300,"CHARLOTTESVILLE"
1973,NA,"Good",1,1092,4,2,1,7,3.091,290300,"CHARLOTTESVILLE"
1974,NA,"Average",1,1222,3,2,0,7,3.02,176600,"CHARLOTTESVILLE"
1973,NA,"Average",1,1092,3,2,0,5,4.627,165600,"CHARLOTTESVILLE"
1973,NA,"Good",1,1643,4,3,0,8,10.364,469000,"CHARLOTTESVILLE"
1977,NA,"Average",1.3,1340,3,3,0,7,3.426,260300,"CHARLOTTESVILLE"
1973,NA,"Fair",1,1032,3,1,1,5,3.01,172400,"CHARLOTTESVILLE"
1973,2014,"Excellent",1,960,4,2,0,8,3.92,262400,"CHARLOTTESVILLE"
1973,2021,"Good",1,960,3,2,0,6,3.58,209600,"CHARLOTTESVILLE"
1973,NA,"Fair",1,960,3,2,0,7,2.02,158900,"CHARLOTTESVILLE"
1942,NA,"Fair",2,1400,3,1,0,6,4,150500,"CHARLOTTESVILLE"
1967,NA,"Average",1,1617,3,1,0,7,3.233,202800,"CHARLOTTESVILLE"
1974,NA,"Average",1,1312,3,2,1,6,5.68,322800,"CHARLOTTESVILLE"
1974,NA,"Average",1,1164,3,1,0,6,2.02,228400,"CHARLOTTESVILLE"
1974,NA,"Average",1,1537,3,3,0,7,2.03,290200,"CHARLOTTESVILLE"
1979,NA,"Fair",1,1320,3,2,0,8,3.197,172900,"CHARLOTTESVILLE"
2008,NA,"Average",1.7,1644,3,3,1,6,11.46,423000,"CHARLOTTESVILLE"
1966,NA,"Good",1,852,1,1,0,4,4.968,201500,"CHARLOTTESVILLE"
2001,NA,"Average",1,1333,3,2,1,6,5,197700,"CHARLOTTESVILLE"
2003,NA,"Average",1,2184,4,3,1,9,9.884,513300,"CHARLOTTESVILLE"
1992,NA,"Good",1,1421,3,2,0,6,5.627,295200,"CHARLOTTESVILLE"
1992,NA,"Good",2,2871,4,3,1,11,5.23,490800,"CHARLOTTESVILLE"
1992,NA,"Good",1.3,1577,3,2,1,7,5.071,355900,"CHARLOTTESVILLE"
1978,NA,"Average",1,1248,3,1,0,5,2.449,192700,"CHARLOTTESVILLE"
2002,NA,"Average",1.7,2242,3,2,1,6,5.488,350000,"CHARLOTTESVILLE"
1977,NA,"Fair",1,1120,2,2,0,4,2,209000,"CHARLOTTESVILLE"
1994,NA,"Good",1.5,2157,3,2,1,6,7.51,397700,"CHARLOTTESVILLE"
1988,NA,"Good",1.7,1664,3,3,0,7,5.308,369100,"CHARLOTTESVILLE"
1987,NA,"Good",1,1776,3,2,0,7,2.816,307400,"CHARLOTTESVILLE"
1962,2014,"Good",1,1552,2,2,0,6,0.7,237700,"CHARLOTTESVILLE"
1962,NA,"Average",1,2293,3,2,0,8,1.13,257700,"CHARLOTTESVILLE"
1966,NA,"Poor",1,1104,2,1,0,4,1.39,135200,"CHARLOTTESVILLE"
1979,NA,"Average",1,1464,4,2,0,8,2,264300,"CHARLOTTESVILLE"
1936,NA,"Fair",1.5,1876,4,1,0,7,9.49,205900,"CHARLOTTESVILLE"
1955,NA,"Fair",1.3,1720,4,1,0,8,2.017,203500,"CHARLOTTESVILLE"
1982,NA,"Average",1,1451,1,1,0,3,13.07,246700,"CHARLOTTESVILLE"
1984,NA,"Average",2,2106,3,3,1,7,2.001,315500,"CHARLOTTESVILLE"
1979,NA,"Average",2,2903,4,3,1,9,2,365200,"CHARLOTTESVILLE"
1981,NA,"Good",1.9,1728,3,2,1,8,2.123,291600,"CHARLOTTESVILLE"
1980,NA,"Average",2,2004,3,2,1,7,2.183,299600,"CHARLOTTESVILLE"
1981,NA,"Good",1,2072,4,2,0,6,2,354600,"CHARLOTTESVILLE"
1987,NA,"Average",1.5,1894,3,2,1,6,2,236100,"CHARLOTTESVILLE"
1987,NA,"Good",1,1536,3,3,0,6,2.098,334600,"CHARLOTTESVILLE"
